ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Audio_Files
Ende-2nsgNOM-2,,Ende,2nsgNOM,bibi,bibi,,,,,,,,21cae3fd7932e6d235f2f342e33412f8
Kawam-2nsgNOM-1,,Kawam,2nsgNOM,bibi,bibi,,,,,,,,4999fd83220b699285df1887786d26e0
Kawam-2nsgNOM-2,,Kawam,2nsgNOM,bibi,bibi,,,,,,,,4999fd83220b699285df1887786d26e0
Kawam-2nsgNOM-3,,Kawam,2nsgNOM,bibi,bibi,,,,,,,,4c9f8c080236f38bbca34584b59cf616
Kawam-2nsgNOM-4,,Kawam,2nsgNOM,bibi,bibi,,,,,,,,4c9f8c080236f38bbca34584b59cf616
Kawam-2nsgNOM-5,,Kawam,2nsgNOM,bibi,bibi,,,,,,,,
Taeme-2nsgNOM-1,,Taeme,2nsgNOM,bæ,bæ,,,,,,,,fa4bc7f44d8344fc621240003e9de790
Taeme-2nsgNOM-2,,Taeme,2nsgNOM,bæ,bæ,,,,,,,,fa4bc7f44d8344fc621240003e9de790
Taeme-2nsgNOM-all-1,,Taeme,2nsgNOM-all,bækʷɪɲɪbi,bækʷɪɲɪbi,,,,,,,,
Taeme-2nsgNOM-too-1,,Taeme,2nsgNOM-too,bæde,bæde,,,,,,,,
Em-2nsgNOM-two-1,,Em,2nsgNOM-two,bibi komɽebi,bibi komɽebi,,,,,,,,6bf6f1aa3aaf01fb2bac5f973e5e0442
Em-2nsgNOM-two-2,,Em,2nsgNOM-two,bibikomɽejbi,bibikomɽejbi,,,,,,,,6bf6f1aa3aaf01fb2bac5f973e5e0442
Ende-2nsgNOM-two-1,,Ende,2nsgNOM-two,bibi komɽa,bibi komɽa,,,,,,,,
Agob-2nsgPOSS-1,,Agob,2nsgPOSS,bina,bina,,,,,,,,
Agob-2nsgPOSS-2,,Agob,2nsgPOSS,binɐ,binɐ,,,,,,,,
Kawam-2nsgPOSS-1,,Kawam,2nsgPOSS,bina,bina,,,,,,,,
Kawam-2nsgPOSS-2,,Kawam,2nsgPOSS,bina,bina,,,,,,,,
Taeme-2nsgPOSS-1,,Taeme,2nsgPOSS,bəna,bəna,,,,,,,,
Taeme-2nsgPOSS-2,,Taeme,2nsgPOSS,bəna,bəna,,,,,,,,
Agob-2sgACC-1,,Agob,2sgACC,bæm,bæm,,,,,,,,
Agob-2sgACC-2,,Agob,2sgACC,bæm,bæm,,,,,,,,
Em-2sgACC-1,,Em,2sgACC,bɛm,bɛm,,,,,,,,b85a464108011c7d51fc9801fdf5dfa1
Kawam-2sgACC-1,,Kawam,2sgACC,bæm,bæm,,,,,,,,
Kawam-2sgACC-2,,Kawam,2sgACC,bæm,bæm,,,,,,,,
Taeme-2sgACC-1,,Taeme,2sgACC,babom,babom,,,,,,,,
Taeme-2sgACC-2,,Taeme,2sgACC,babom,babom,,,,,,,,
Agob-2sgDAT-1,,Agob,2sgDAT,bæɽe,bæɽe,,,,,,,,
Agob-2sgDAT-2,,Agob,2sgDAT,bæɽe,bæɽe,,,,,,,,
Kawam-2sgDAT-1,,Kawam,2sgDAT,bæbre,bæbre,,,,,,,,
Kawam-2sgDAT-2,,Kawam,2sgDAT,bæbre,bæbre,,,,,,,,
Taeme-2sgDAT-1,,Taeme,2sgDAT,bæbʎe,bæbʎe,,,,,,,,
Taeme-2sgDAT-2,,Taeme,2sgDAT,bæble,bæble,,,,,,,,
Agob-2sgNOM-1,,Agob,2sgNOM,boŋo,boŋo,,,,,,,,cfc55facc7b6d5f05946036c11e4d86f
Agob-2sgNOM-2,,Agob,2sgNOM,boŋo,boŋo,,,,,,,,cfc55facc7b6d5f05946036c11e4d86f
Em-2sgNOM-1,,Em,2sgNOM,boŋo,boŋo,,,,,,,,3535c414ec2460132ef18d72268afc35
Em-2sgNOM-2,,Em,2sgNOM,boŋo,boŋo,,,,,,,,3535c414ec2460132ef18d72268afc35
